Name,Phone,URL,Square Feet Total,Neighborhood,Organization Type,Dominant Discipline,Year of Occupation,Rent vs Own,Age of Current Building,Length of Lease (Date), Year Organization Founded,Number of Past Facilities,Stages and Theaters,Stage & Theater Seats ,Gallery Space,Gallery Square Feet,ADA Compliant,Available Parking,Street Presence,Rental Space ,Alcohol Sales,Organization Mission,Funded by A&C,"Stability Index (5=very stable, 1=very uncertain)","Control Index (5=very in control, 1 = very out of control) ",Constituency over 50% one race,Specific Demographics and Community,Organization Leadership,Organization Artists,Closed Date,Closed?,Address,Location
Capitol Hill Block Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1122 E Pike St Seattle WA 98122,"(47.614272999999997, -122.317245)"
High Voltage Music Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,910 E Pike St Seattle WA 98122,"(47.614337999999996, -122.32010699999999)"
Blowing Sands Glass Studio/Laura Frost Fine Arts Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5805 14th Ave NW Seattle WA 98107,"(47.671066000000003, -122.373662)"
Studio Current,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1417 10th Ave #C Seattle WA 98122,"(47.613222999999998, -122.319412)"
Georgetown Atelier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5628 Airport way S #330 Seattle WA 98108,"(47.551817, -122.31945399999999)"
Civetta Dance Space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,124 N 103rd St Seattle WA 98133,"(47.703865, -122.35676599999999)"
Eight and Sand Gallery,(206) 304-0394,www.eightandsand.com,132,Georgetown,N,Visual,2013,R,1901,10/17/16,2013,0,0,0,Y,132,Y,0,N,N,Y,,N,3,,,,,,,0,5840 Airport Way S Suite 212 Seattle WA 98108,"(47.550961999999998, -122.318612)"
Pocket Theater,(303) 803-4589,www.thepocket.org,2500,Greenwood,N,Performance,2014,R,1960,2026,2013,0,0,1,Y,1000,Y,4,Y,Y,Y,,N,4,,,,,,,0,8313 Greenwood Ave N Seattle WA 98103,"(47.689323000000002, -122.3553)"
Between Cultures Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8809 Roosevelt Way NE Seattle WA 98115,"(47.692390000000003, -122.31762999999999)"
Threshold Gallery at Mithun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1201 Alaskan Way #200 Seattle WA 98101,"(47.605052999999998, -122.340225)"
Canoe Social Club,(206) 550-4818,www.canoesocialclub.com,522,Capitol Hill,Other,Performance,2010,R,1900,2015,2009,3,0,0,Y,200,N,0,N,N,N,,N,2,,,,,,,0,1423 10th Ave Seattle WA 98122,"(47.613571, -122.31983200000001)"
Glassy Eye Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,600 NW 40th St Seattle WA 98107,"(47.656466999999999, -122.36412799999999)"
Couth Buzzard Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8310 Greenwood Ave N Seattle WA 98103,"(47.689506999999999, -122.35495)"
DASSdance Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1630 27th Avenue Seattle WA 98122,"(47.616283000000003, -122.297218)"
Vignettes Gallery at El Capitan Apartments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1617 Yale Ave Seattle WA 98122,"(47.615806999999997, -122.328384)"
Atlas Theatre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3509 Fremont Ave N Seattle WA 98103,"(47.650660000000002, -122.34989)"
Washington State Convention & Trade Center Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,800 Convention Place Second Floor Seattle WA 98101,"(47.611415000000001, -122.33147200000001)"
Serafina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"2043 Eastlake Ave E Seattle, WA 98102","(47.638030000000001, -122.325924)"
B L M F Literary Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl #322 Seattle WA 98101,"(47.608707000000003, -122.341049)"
Vito's,(206) 397-4053,www.vitosseattle.com,4000,First Hill,N,Music,2010,R,1902,2028,1953,0,0,100,N,0,Y,0,Y,N,Y,,N,5,,,,,,,0,"927 9th Ave Seattle, WA 98104","(47.607942999999999, -122.326933)"
The Collaboratory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5623 Rainier Ave S Seattle WA 98118,"(47.551707, -122.277981)"
OutWest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5401 California Ave SW Seattle WA 98136,"(47.553764000000001, -122.387314)"
Golden Age Collectibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl #401 Seattle WA 98101,"(47.608707000000003, -122.341049)"
Woodcraft of Seattle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5963 Corson Ave. S Seattle WA 98108,"(47.548363000000002, -122.321178)"
Alexander's Bead Bazaar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6307 Roosevelt Way NE Seattle WA 98115,"(47.674446000000003, -122.317734)"
Mind Unwind Foundation,(206) 829-9128,www.mindunwind.org,2000,Admiral,Y,Arts/Cultural Training or Education,2011,R,2011,2017,2011,0,0,0,Y,500,Partial,0,Y,Y,Y,,N,4,,,,,,,0,2206A California Ave SW Seattle WA 98116,"(47.583717, -122.38602400000001)"
The Dreaming Comics and Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5226 University Way NE Seattle WA 98105,"(47.667054, -122.313051)"
Phoenix Comics & Games,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,113 Broadway E Seattle WA 98102,"(47.618977000000001, -122.320876)"
Comics Dungeon,(206) 545-8373,www.ComicsDungeon.com,1600,Wallingford,N,Visual,2012,R,1950,2020,1992,3,0,0,Y,300,Partial,0,Y,N,N,,N,5,,,,,,,0,319 NE 45th St Seattle WA 98105,"(47.661355999999998, -122.3248)"
Arcane Comics & More,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5809 15th Ave NW Seattle WA 98107,"(47.671104999999997, -122.37624)"
Mockingbird Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7220 Woodlawn Ave NE Seattle WA 98115,"(47.681091000000002, -122.324814)"
Math 'n' Stuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8926 Roosevelt Way NE Seattle WA 98115,"(47.693851000000002, -122.317268)"
The Comic Stop U District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1307 NE 45th St Seattle WA 98105,"(47.661270000000002, -122.31400600000001)"
Ada's Technical Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,425 15th Ave East Seattle WA 98112,"(47.622414999999997, -122.31263)"
Singles Going Steady,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2219 2nd Ave Seattle WA 98121,"(47.613453, -122.345268)"
88 Keys Dueling Piano Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,315 2nd Ave S Seattle WA 98104,"(47.599536999999998, -122.33197800000001)"
Storum Jewish Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2618 NE 80th St Seattle WA 98115,"(47.686669999999999, -122.29924099999999)"
International Drop-In Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7301 Beacon Ave S Seattle WA 98108,"(47.536369000000001, -122.293419)"
Elderwise,(206) 774-6606,www.elderwise.org,350,First Hill,Y,Visual,2000,R,1965,,1997,2,0,0,I don't know.,0,Y,20,N,N,I don't know.,,N,4,,,,,,,0,900 University St Seattle WA 98101,"(47.610928000000001, -122.329353)"
Panda Photographic Laboratories Inc,(206) 285-7091,www.pandalab.com,2300,Queen Anne,N,Visual,1984,R,1930,2020,1983,0,0,0,N,0,N,2,Y,N,N,,N,5,,,,,,,0,533 Warren Ave N Seattle WA 98109,"(47.623769000000003, -122.354085)"
Paper Source Queen Anne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1908 Queen Anne Ave N Seattle WA 98109,"(47.636173999999997, -122.35695800000001)"
American Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4450 Fremont Ave N Seattle WA 98103,"(47.660980000000002, -122.349632)"
Ethiopian Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8323 Rainier Ave South Seattle WA 98118,"(47.528647999999997, -122.270409)"
Aaron Brothers Art & Framing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1513 3rd Ave Seattle WA 98101,"(47.610030999999999, -122.33852400000001)"
Paper Source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2606 NE 46th St Seattle WA 98105,"(47.661911000000003, -122.284111)"
World Beads,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,98 Virginia St Seattle WA 98101,"(47.610973999999999, -122.34275)"
Neptune Music Co,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4344 Brooklyn Ave NE Seattle WA 98105,"(47.66093, -122.314283)"
Seattle Indian Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,611 12th Ave S Suite 300 Seattle WA 98144,"(47.597092000000004, -122.317932)"
Asian Resource Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1025 South King St. Seattle WA 98104,"(47.597923000000002, -122.318398)"
Glazer's Camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,433 8th Ave N Seattle WA 98109,"(47.622962999999999, -122.341438)"
Beadworld,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9524 Roosevelt Way NE Seattle WA 98115,"(47.698005000000002, -122.317615)"
Nancy's Sewing Basket,(206) 282-9112,www.NancysSewingBasket.com,3500,Queen Anne,N,Multi-use,1991,R,1991,,1978,1,0,0,N,0,Partial,0,Y,N,N,,N,5,,,,,,,0,2221 Queen Anne Ave N Seattle WA 98109,"(47.639049999999997, -122.357315)"
World Beads Capitol Hill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,233 Broadway E Seattle WA 98102,"(47.620330000000003, -122.320908)"
Comics Journal / Fantagraphics Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7563 Lake City Way NE Seattle WA 98115,"(47.684772000000002, -122.31590300000001)"
Half Price Books,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4709 Roosevelt Way N.E. Seattle WA 98105,"(47.663578000000001, -122.31772599999999)"
Hobby Lobby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3200 Aurora Ave N Seattle Wa 98133,"(47.754508999999999, -122.34565000000001)"
Hot Glass Color,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2227 5th Ave Seattle WA 98121,"(47.615476999999998, -122.34220999999999)"
The Comedy Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"109 S. Washington St Seattle, WA 98104","(47.60089, -122.333879)"
Pacific Fabrics and Crafts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2230 4th Ave S Seattle WA 98134,"(47.582653000000001, -122.32833100000001)"
Monster Art & Clothing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5000 20th Ave NW Seattle WA 98107,"(47.665686999999998, -122.382206)"
Stitches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,711 East Pike St Seattle WA 98122,"(47.614069999999998, -122.323097)"
The Hyogo Business and Cultural Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1001 4th Ave Suite 2330 Seattle WA 98154,"(47.606212999999997, -122.333794)"
The Color Group,(206) 281-1630,www.thecolorgroup.com,3000,SODO,N,Visual,2010,R,1971,2020,2000,2,0,0,Y,2500,Y,25,Y,Y,Y,,N,5,,,,,,,0,1741 4th Ave S Suite B Seattle WA 98134,"(47.586852999999998, -122.329559)"
Jo Ann Fabrics and Crafts Aurora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15236 Aurora Ave N Seattle WA 98133,"(47.739364000000002, -122.34527300000001)"
Porchlight Coffee & Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1517 14th Ave Seattle WA 98122,"(47.614417000000003, -122.314238)"
Filipino Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5740 Martin Luther King Jr Way Seattle WA 98118,"(47.550125000000001, -122.287086)"
The Weaving Works,(206) 524-1221,www.weavingworks.com,2800,Ravenna,N,Arts/Cultural Training or Education,2014,R,1920,2020,1974,2,0,0,N,0,Y,0,Y,I don't know.,N,,N,1,,,,,,,0,6514 Roosevelt Way NE Seattle WA 98115,"(47.676397999999999, -122.31739)"
Paint the Town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4611 Village Court NE Seattle WA 98105,"(47.660400000000003, -122.280525)"
Jo Ann Fabrics and Crafts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2217 NW 57th St Seattle WA 98107,"(47.669818999999997, -122.385689)"
JCCCW Japanese Cultural & Community Center of WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1414 S Weller St Seattle WA 98144,"(47.597743999999999, -122.312012)"
Russian Community Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,704 19th Ave E Seattle WA 98112,"(47.625473999999997, -122.30732)"
7 Point Studio and The Boro School,(206) 284-5277,www.7pointstudios.com,18000,Chinatown International District,N,Visual,2013,R,1932,2022,2013,3,0,0,Y,5000,Partial,8,Y,Y,N,,N,3,,,,,,,0,1300 S Dearborn St Seattle WA 98144,"(47.596252, -122.315567)"
Drygood Design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,301 Occidental Ave S Seattle 98104,"(47.599902999999998, -122.332888)"
Glassybaby University Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2627 NE Village Lane Seattle WA 98105,"(47.660400000000003, -122.280525)"
Tall's Camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,401 NE Northgate Way Seattle WA 98125,"(47.708599999999997, -122.32478999999999)"
"Photo-tronics, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,513 Dexter Ave. N. Seattle WA 98109,"(47.623725999999998, -122.34277299999999)"
Impress Cards and Crafts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2621 NE Village Lane Seattle WA 98105,"(47.660400000000003, -122.280525)"
Glassybaby Madrona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3406 East Union St Seattle WA 98122,"(47.613109999999999, -122.288887)"
Venue Ballard,(206) 789-3335,www.venueballard.com,2000,Ballard,N,Visual,2005,R,2005,2018,2005,0,0,0,Y,1800,Y,0,Y,Y,N,,N,5,,,,,,,0,5408 22nd Ave NW Seattle WA 98107,"(47.667813000000002, -122.384795)"
Off the Wall School of Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4509 Midvale Ave N Seattle WA 98103,"(47.661631999999997, -122.34377000000001)"
Bell & Reed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,15 Prefontaine Pl. S Suite 510 Seattle WA 98104,"(47.601719000000003, -122.330269)"
Greenwood Violin Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,13000 Linden Ave N Seattle WA 98133,"(47.723804000000001, -122.347351)"
Soul Cat Guitars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1998 Western Ave Seattle WA 98126,"(47.610329999999998, -122.34368499999999)"
Washington Park Arboretum and Madison Park Graham Visitors Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2300 Arboretum Drive E Seattle WA 98112,"(47.638016, -122.29413700000001)"
Georgetown Music Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6111 13th Ave S Seattle WA 98108,"(47.548225000000002, -122.31648300000001)"
Kennelly Keys Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10720 5th Ave NE Seattle WA 98125,"(47.707703000000002, -122.323263)"
Emerald City Guitars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,83 S Washington St Seattle WA 98104,"(47.600886000000003, -122.334547)"
Creative Music Adventures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4501 Interlake Ave N #2 Seattle WA 98103,"(47.661797, -122.340996)"
Klondike Gold Rush National Historic Park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,319 2nd Ave S Seattle WA 98104,"(47.599373, -122.33197800000001)"
Allied Arts Foundation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1620 43rd Ave E #16A Seattle WA 98112,"(47.63382, -122.276352)"
Dusty Strings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3406 Fremont Ave N Seattle WA 98103,"(47.649743999999998, -122.34979800000001)"
Capitol Music Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1006 NE 50th St Seattle WA 98105,"(47.664948000000003, -122.317176)"
High Voltage Music Store,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,910 E Pike St Seattle WA 98122,"(47.614337999999996, -122.32010699999999)"
Metropolitan Music,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8414 5th Ave NE Seattle WA 98115,"(47.689869000000002, -122.32298299999999)"
A-1 Piano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7020 Greenwood Ave N Seattle WA 98103,"(47.679985000000002, -122.355011)"
Bill Matthews' Conga Joy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.669089999999997, -122.385796)"
Art With A Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,316 Broadway Suite 316 Seattle WA 98122,"(47.604534000000001, -122.320335)"
The Trading Musician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5908 Roosevelt Way NE Seattle WA 98105,"(47.671729999999997, -122.317154)"
Oberloh Woodwind and Brass Works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,958 N 127th St #A Seattle WA 98133,"(47.721648999999999, -122.345955)"
Hillman Guitar Instruction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2412 Westlake Ave N Suite 2A Seattle WA 98109,"(47.640101999999999, -122.341103)"
Fauntleroy Schoolhouse/Fauntleroy Community Service Agency,(425) 445-4064,www.fauntleroyschoolhouse.org,49000,West Seattle,Y,Community Center,2010,O,1917,,1980,1,1,275,N,,Y,150,Y,Y,Y,,N,5,,,,,,,0,9131 California Ave SW Seattle WA 98136,"(47.521908000000003, -122.38848900000001)"
Scratch Deli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1718 12th Ave Seattle WA 98122,"(47.617072999999998, -122.31649)"
Guitar Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,530 Westlake Ave Seattle WA 98109,"(47.623835, -122.33846)"
The Music Factory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2832 E Arthur Pl Seattle WA 98112,"(47.623119000000003, -122.29575199999999)"
Central Area Senior Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,500 30th Ave S Seattle WA 98144,"(47.597873, -122.293854)"
"Studio Instrument Rentals, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,"3631 Interlake Ave N Seattle, WA 98103","(47.651569000000002, -122.341705)"
Equinox Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6555 5th Ave S Seattle WA 98108,"(47.544634000000002, -122.328371)"
Central Saloon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,207 1st Ave S Seattle WA 98104,"(47.600586, -122.33457900000001)"
The Drum Exchange,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4501 Interlake Ave N Seattle WA 98103,"(47.661797, -122.340996)"
Thunder Road Guitars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3916 California Ave SW Seattle WA 98116,"(47.568764000000002, -122.386375)"
Mode Music Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3805 Delridge Way SW Seattle WA 98106,"(47.569904000000001, -122.362556)"
Sound Guitar Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,118 N. 35th St #105 Seattle WA 98103,"(47.652183999999998, -122.356773)"
Dance Underground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,340 15th E Seattle WA 98112,"(47.621665999999998, -122.31229399999999)"
Gay City Health Project,(206) 860-6969,www.gaycity.org,750,Capitol Hill,Y,Performance,2012,R,1920,2027,1995,4,1,,Y,250,Y,0,Y,Y,Y,,Y,4,,,,,,,0,517 East Pike St Seattle WA 98122,"(47.613796000000001, -122.324783)"
Historic Seattle Dearborn House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1117 Minor Ave Seattle WA 98101,"(47.610874000000003, -122.32547)"
Leif Erikson Lodge Sons of Norway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2245 NW 57th St Seattle WA 98107,"(47.669818999999997, -122.386803)"
Mike and Mike's Guitar Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2418 NW 80th St Seattle WA 98117,"(47.686819999999997, -122.38838699999999)"
Seattle Sound Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4112 Stone Way N Seattle WA 98103,"(47.657080000000001, -122.342359)"
Sunshine from Polynesia,(206) 282-0769,www.sunshinefrompolynesia.com,400,Magnolia,N,Performance,1985,O,1908,,1985,0,0,0,N,0,I don't know.,3,I don't know.,N,N,,N,5,,,,,,,0,4524 33rd Avenue W Seattle WA 98199,"(47.662089999999999, -122.39917)"
Solid Repair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9407 22nd Ave SW Seattle WA 98106,"(47.518948999999999, -122.36180299999999)"
Monster Concerts INC DBA STUDIO SEVEN,(206) 286-1312,www.studioseven.us,7300,SODO,N,Music,2002,R,1932,2018,2011,0,0,0,N,0,Partial,10,I don't know.,Y,Y,,N,4,,,,,,,0,110 S Horton St Seattle WA 98134,"(47.574393999999998, -122.33390799999999)"
Roseanne's School of Dance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3116 W Smith St Seattle WA 98199â€Ž,"(47.641295999999997, -122.39782)"
Gallery Mack's Art Connection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2100 Western Ave Seattle WA 98121,"(47.611457999999999, -122.344795)"
University of Washington Health Sciences Library,(206) 543-3390,www.hsl.uw.edu,10000,University District,Other,Multi-use,1940,O,1940,,1940,0,,,N,0,Partial,,Y,Y,N,,N,5,,,,,,,0,1959 NE Pacific St Room T-334 Seattle WA 98195,"(47.649920999999999, -122.306355)"
University of Washington D Center,(206) 685-0949,www.depts.washington.edu/dcenter/wordpress/,450,University District,Other,Arts/Cultural Administration or Advocacy,2013,Other,1999,,2013,0,0,0,N,0,Y,,N,Y,N,,N,4,,,,,,,0,Mary Gates Hall University of Washington. Seattle WA 98195,"(47.656761000000003, -122.312027)"
Capitol Cider,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,818 E Pike St Seattle WA 98122,"(47.614069999999998, -122.32173400000001)"
Jive Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3506 Fremont Ave N Seattle WA 98103,"(47.650660000000002, -122.34989)"
Silver Platters Northgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9560 1st Ave NE Seattle WA 98115,"(47.698273, -122.328456)"
Zions Gate Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1100 E Pike St Seattle WA 98122,"(47.614260000000002, -122.31785600000001)"
Light in the Attic Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,913 NW 50th St Seattle WA 98107,"(47.664828999999997, -122.369316)"
Silver Platters SoDo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2930 1st Ave S Seattle WA 98121,
Holy Cow Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1501 Pike Pl Suite 325 Seattle WA 98121,"(47.608707000000003, -122.341049)"
Spin Cycle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,321 Broadway Ave East Seattle WA 98102,"(47.621665999999998, -122.321304)"
Hawthorne Stereo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6303 Roosevelt Way NE Seattle WA 98115,"(47.674287999999997, -122.317353)"
Bop Street Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2220 NW Market St Seattle WA 98107,"(47.669089999999997, -122.385796)"
Golden Oldies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,201 NE 45th St Seattle WA 98105,"(47.661160000000002, -122.326927)"
Tune HiFi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2121 1st Ave Seattle WA 98121,"(47.612071999999998, -122.344917)"
Mossy Bottom Records,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5049 Brooklyn Ave Seattle WA 98105,"(47.666289999999996, -122.31448399999999)"
Stormy Muffin Studios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,219 1st Avenue S #B1 Seattle WA 98104,"(47.600216000000003, -122.33457900000001)"
Earwig Studio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,74 S Lucile St Seattle WA 98134,"(47.553657999999999, -122.335594)"
C Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,855 Hiawatha Place Seattle WA 98144,"(47.595089999999999, -122.30961600000001)"
Seattle Magazine/Tiger Oak Media Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1417 4th Ave Suite 600 Seattle WA 98101,"(47.609504999999999, -122.336502)"
Bremelo Press,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1400 S. Jackson Place Seattle WA 98144,"(47.598796, -122.313501)"
Underwood Stables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4306 Fremont Ave N Seattle WA 98103,"(47.659514000000001, -122.35003)"
Milagros Mexican Folk Art Gallery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,Pike Place Market 1530 Post Alley Seattle WA 98101,"(47.609296999999998, -122.341213)"
Thrive Art School,(206) 522-1659,www.drawingschool.com,1200,Ravenna,N,Visual,2000,R,1940,,2000,0,0,0,N,0,I don't know.,0,I don't know.,N,N,,N,5,,,,,,,0,6329 Ravenna Ave NE Seattle WA 98115,"(47.675001000000002, -122.303815)"
Brooklyn Frame Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4733 Brooklyn Ave NE Seattle WA 98105,"(47.664073999999999, -122.314514)"
City Arts Magazine/Encore Media Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,425 N. 85th St Seattle WA 98103,"(47.690365, -122.352966)"
Glass Art Society,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6512 23rd Ave NW Suite 329 Seattle WA 98117,"(47.676288, -122.38538800000001)"
Bayview Work Lofts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,168 Western Ave W Seattle WA 98119,"(47.619567000000004, -122.359014)"
Baas Framing Studio & The Madison Art Collective,(206) 324-4742,www.baasframingstudio.com,1200,Madison Valley,N,Visual,1995,R,1955,It's month to month.,1993,1,0,0,Y,600,Y,1,Y,N,N,,N,2,,,,,,,0,2703 E Madison Seattle WA 98112,"(47.622675000000001, -122.297416)"
Canvas Paint & Sip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3418 Fremont Ave N Seattle WA 98103,"(47.650016999999998, -122.349812)"
